name,webpage,location,keywords
Stereoscopic Wall Display,https://blogs.ncl.ac.uk/nova/infrastructure/,Urban Science Building Room G.010,large screen; stereoscopy
Digital Whiteboard (Microsoft Surface Hub),https://blogs.ncl.ac.uk/nova/infrastructure/,Urban Science Building Room G.010,touchscreen
3D Digital Inspector (DRV-D1 Deep Reality Viewer),https://blogs.ncl.ac.uk/nova/infrastructure/,Urban Science Building Room G.010,large screen; stereoscopy
Hand Tracking Device (Leap Motion Controller),https://blogs.ncl.ac.uk/nova/infrastructure/,Urban Science Building Room G.010,motion tracking
Eye Tracker (Tobii X2-30),https://blogs.ncl.ac.uk/nova/infrastructure/,Urban Science Building Room G.010,eyetracking
3D Sound System,https://blogs.ncl.ac.uk/nova/infrastructure/,Urban Science Building Room G.010,sound
Virtual Reality Headset (HTC Vive Pro 2),https://blogs.ncl.ac.uk/nova/infrastructure/,Urban Science Building Room 2.036,AR/VR; stereoscopy
Mixed Reality Headset (HoloLens 2),https://blogs.ncl.ac.uk/nova/infrastructure/,Urban Science Building Room 2.036,AR/VR; stereoscopy
Wall Display,https://blogs.ncl.ac.uk/nova/infrastructure/,The Catalyst Team Decision Theatre,large screen
Three Digital Whiteboards,https://blogs.ncl.ac.uk/nova/infrastructure/,The Catalyst Team Decision Theatre,touchscreen; largescreen
Stereo Camera (ZED Stereo Camera),https://blogs.ncl.ac.uk/nova/infrastructure/,The Catalyst Team Decision Theatre,motion tracking; stereoscopy
